%logT,BmV,HmK,tau
3.50961,1.631,0.255,339.8
3.52474,1.536,0.236,367.9
3.53505,1.528,0.220,408.6
3.54339,1.514,0.206,493.0
3.55082,1.499,0.200,358.4
3.55929,1.475,0.191,222.1
3.56950,1.453,0.182,176.9
3.58154,1.423,0.168,146.8
3.59551,1.385,0.152,125.4
3.61129,1.334,0.131,106.8
3.62846,1.271,0.111,93.05
3.64654,1.197,0.102,81.17
3.66575,1.098,0.096,70.89
3.68619,0.985,0.088,62.54
3.70568,0.883,0.079,55.01
3.72368,0.796,0.073,47.9
3.73984,0.724,0.067,41.24
3.75439,0.662,0.057,34.87
3.76739,0.611,0.052,28.64
3.77903,0.57,0.051,21.93
3.78948,0.535,0.047,14.67
3.79899,0.504,0.043,8.141
3.80807,0.473,0.040,2.394
%3.81760,0.443,0.037,0.0
%3.82645,0.443,0.037,0.0
%3.83525,0.443,0.037,0.0
%3.84458,0.443,0.037,0.0
%3.85476,0.443,0.037,0.0
